,title,artists,style,playlist,percentage
0,Señorita,Shawn Mendes,pop,GLB_top 2019,46.0
1,China,Anuel AA,reggaeton,GLB_top 2019,8.0
2,boyfriend (with Social House),Ariana Grande,pop,GLB_top 2019,46.0
3,Beautiful People (feat. Khalid),Ed Sheeran,pop,GLB_top 2019,46.0
4,Goodbyes (Feat. Young Thug),Post Malone,rap,GLB_top 2019,8.0
5,I Don't Care (with Justin Bieber),Ed Sheeran,pop,GLB_top 2019,46.0
6,Ransom,Lil Tecca,trap music,GLB_top 2019,2.0
7,How Do You Sleep?,Sam Smith,pop,GLB_top 2019,46.0
8,Old Town Road - Remix,Lil Nas X,rap,GLB_top 2019,8.0
9,bad guy,Billie Eilish,pop,GLB_top 2019,46.0
10,Callaita,Bad Bunny,reggaeton,GLB_top 2019,8.0
11,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,pop,GLB_top 2019,46.0
12,Someone You Loved,Lewis Capaldi,pop,GLB_top 2019,46.0
13,Otro Trago - Remix,Sech,pop,GLB_top 2019,46.0
14,Money In The Grave (Drake ft. Rick Ross),Drake,hip hop,GLB_top 2019,10.0
15,No Guidance (feat. Drake),Chris Brown,pop,GLB_top 2019,46.0
16,LA CANCIÓN,J Balvin,latin,GLB_top 2019,10.0
17,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,rap,GLB_top 2019,8.0
18,Lalala,Y2K,hip hop,GLB_top 2019,10.0
19,Truth Hurts,Lizzo,escape room,GLB_top 2019,2.0
20,Piece Of Your Heart,MEDUZA,pop,GLB_top 2019,46.0
21,Panini,Lil Nas X,rap,GLB_top 2019,8.0
22,No Me Conoce - Remix,Jhay Cortez,reggaeton,GLB_top 2019,8.0
23,Soltera - Remix,Lunay,latin,GLB_top 2019,10.0
24,bad guy (with Justin Bieber),Billie Eilish,pop,GLB_top 2019,46.0
25,If I Can't Have You,Shawn Mendes,pop,GLB_top 2019,46.0
26,Dance Monkey,Tones and I,pop,GLB_top 2019,46.0
27,It's You,Ali Gatie,hip hop,GLB_top 2019,10.0
28,Con Calma,Daddy Yankee,latin,GLB_top 2019,10.0
29,QUE PRETENDES,J Balvin,latin,GLB_top 2019,10.0
30,Takeaway,The Chainsmokers,edm,GLB_top 2019,6.0
31,7 rings,Ariana Grande,pop,GLB_top 2019,46.0
32,0.958333333333333,Maluma,reggaeton,GLB_top 2019,8.0
33,The London (feat. J. Cole & Travis Scott),Young Thug,hip hop,GLB_top 2019,10.0
34,Never Really Over,Katy Perry,pop,GLB_top 2019,46.0
35,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,big room,GLB_top 2019,2.0
36,Otro Trago,Sech,pop,GLB_top 2019,46.0
37,Antisocial (with Travis Scott),Ed Sheeran,pop,GLB_top 2019,46.0
38,Sucker,Jonas Brothers,boy band,GLB_top 2019,2.0
39,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",Lauv,pop,GLB_top 2019,46.0
40,Higher Love,Kygo,edm,GLB_top 2019,6.0
41,You Need To Calm Down,Taylor Swift,pop,GLB_top 2019,46.0
42,Shallow,Lady Gaga,pop,GLB_top 2019,46.0
43,Talk,Khalid,pop,GLB_top 2019,46.0
44,Con Altura,ROSALÍA,hip hop,GLB_top 2019,10.0
45,One Thing Right,Marshmello,brostep,GLB_top 2019,4.0
46,Te Robaré,Nicky Jam,latin,GLB_top 2019,10.0
47,Happier,Marshmello,brostep,GLB_top 2019,4.0
48,Call You Mine,The Chainsmokers,edm,GLB_top 2019,6.0
49,Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,pop,GLB_top 2019,46.0
0,Dakiti,"Bad Bunny,                 Jhay Cortez     Dakiti",trap,GLB_top 2020,10.0
1,positions,Ariana Grande     Positions,pop,GLB_top 2020,40.0
2,Mood (feat. iann dior),"24kGoldn,                 iann dior     Mood (feat. iann dior)",hip hop,GLB_top 2020,23.33
3,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money,                 Gunna,                 Don Toliver,                 NAV     B4 The Storm",hip hop,GLB_top 2020,23.33
4,What You Know Bout Love,Pop Smoke     Shoot For The Stars Aim For The Moon,hip hop,GLB_top 2020,23.33
5,Lonely (with benny blanco),"Justin Bieber,                 benny blanco     Lonely (with benny blanco)",pop,GLB_top 2020,40.0
6,Dynamite,BTS     Dynamite (DayTime Version),latin,GLB_top 2020,16.67
7,Hawái,Maluma     PAPI JUANCHO,pop,GLB_top 2020,40.0
8,WAP (feat. Megan Thee Stallion),"Cardi B,                 Megan Thee Stallion     WAP (feat. Megan Thee Stallion)",hip hop,GLB_top 2020,23.33
9,Blinding Lights,The Weeknd     After Hours,pop,GLB_top 2020,40.0
10,Holy (feat. Chance The Rapper),"Justin Bieber,                 Chance the Rapper     Holy",pop,GLB_top 2020,40.0
11,For The Night (feat. Lil Baby & DaBaby),"Pop Smoke,                 Lil Baby,                 DaBaby     Shoot For The Stars Aim For The Moon",hip hop,GLB_top 2020,23.33
12,Watermelon Sugar,Harry Styles     Fine Line,pop,GLB_top 2020,40.0
13,you broke me first,Tate McRae     you broke me first,edm,GLB_top 2020,3.33
14,34+35,Ariana Grande     Positions,pop,GLB_top 2020,40.0
15,Relación - Remix,"Sech,                 Daddy Yankee,                 J Balvin,                 ROSALÍA,                 Farruko     Relación (Remix)",latin,GLB_top 2020,16.67
16,Head & Heart (feat. MNEK),"Joel Corry,                 MNEK     Head & Heart (feat. MNEK)",reggaeton,GLB_top 2020,6.67
17,Hawái - Remix,"Maluma,                 The Weeknd     Hawái (Remix)",pop,GLB_top 2020,40.0
18,Put Your Records On,Ritt Momney     Put Your Records On,hip hop,GLB_top 2020,23.33
19,ROCKSTAR (feat. Roddy Ricch),"DaBaby,                 Roddy Ricch     BLAME IT ON BABY",pop,GLB_top 2020,40.0
20,La Nota,"Manuel Turizo,                 Rauw Alejandro,                 Myke Towers     La Nota",latin,GLB_top 2020,16.67
21,Heather,Conan Gray     Kid Krow,reggaeton,GLB_top 2020,6.67
22,Se Te Nota (with Guaynaa),"Lele Pons,                 Guaynaa     Se Te Nota (with Guaynaa)",latin,GLB_top 2020,16.67
23,La Tóxica,Farruko     La Tóxica,hip hop,GLB_top 2020,23.33
24,Vida de Rico,Camilo     Vida de Rico,latin,GLB_top 2020,16.67
25,Laugh Now Cry Later (feat. Lil Durk),"Drake,                 Lil Durk     Laugh Now Cry Later (feat. Lil Durk)",pop,GLB_top 2020,40.0
26,Someone You Loved,Lewis Capaldi     Divinely Uninspired To A Hellish Extent,trap,GLB_top 2020,10.0
27,La Curiosidad,"Jay Wheeler,                 DJ Nelson,                 Myke Towers     Platonicos",pop,GLB_top 2020,40.0
28,Levitating (feat. DaBaby),"Dua Lipa,                 DaBaby     Future Nostalgia",pop,GLB_top 2020,40.0
29,Wonder,Shawn Mendes     Wonder,trap,GLB_top 2020,10.0
0,Tú Me Dejaste De Querer (feat. Niño de Elche & La Hungara),"C. Tangana,                 Niño de Elche,                 La Húngara     Tú Me Dejaste De Querer (feat. Niño de Elche & La Hungara)",rumbachata,ESP_top 2020,6.67
1,Dakiti,"Bad Bunny,                 Jhay Cortez     Dakiti",trap,ESP_top 2020,23.33
2,Demasiadas Mujeres,C. Tangana     Demasiadas Mujeres,rumbachatea,ESP_top 2020,3.33
3,La Nota,"Manuel Turizo,                 Rauw Alejandro,                 Myke Towers     La Nota",latin,ESP_top 2020,36.67
4,Mi Niña,"Wisin,                 Myke Towers,                 Los Legendarios     Mi Niña",reggaeton,ESP_top 2020,26.67
5,La Luz,"Sech,                 J Balvin     La Luz",trap,ESP_top 2020,23.33
6,Despeinada,"Ozuna,                 Camilo     ENOC",reggaeton,ESP_top 2020,26.67
7,Una Locura,"Ozuna,                 J Balvin,                 Chencho Corleone     ENOC",trap,ESP_top 2020,23.33
8,Relación - Remix,"Sech,                 Daddy Yankee,                 J Balvin,                 ROSALÍA,                 Farruko     Relación (Remix)",latin,ESP_top 2020,36.67
9,Entre tú y yo,Chema Rivas     Entre tú y yo,trap,ESP_top 2020,23.33
10,Reloj,"Rauw Alejandro,                 Anuel AA     Reloj",latin,ESP_top 2020,36.67
11,Problemas,Paris Boy     Problemas,latin,ESP_top 2020,36.67
12,Hawái,Maluma     PAPI JUANCHO,reggaeton,ESP_top 2020,26.67
13,Enchule,Rauw Alejandro     Enchule,reggaeton,ESP_top 2020,26.67
14,A Un Paso De La Luna,"Ana Mena,                 Rocco Hunt     A Un Paso De La Luna",latin,ESP_top 2020,36.67
15,Vida de Rico,Camilo     Vida de Rico,latin,ESP_top 2020,36.67
16,Se Te Nota (with Guaynaa),"Lele Pons,                 Guaynaa     Se Te Nota (with Guaynaa)",latin,ESP_top 2020,36.67
17,Como Estrellas,LA YOUNG     Como Estrellas,trap,ESP_top 2020,23.33
18,Jeans,Justin Quiles     Jeans,reggaeton,ESP_top 2020,26.67
19,Mami,"Ptazeta,                 Juacko     Mami",latin,ESP_top 2020,36.67
20,La Tóxica,Farruko     La Tóxica,latin,ESP_top 2020,36.67
21,Tussi,"Arcangel,                 Justin Quiles,                 Eladio Carrion,                 De La Ghetto     Los Favoritos 2",reggaeton,ESP_top 2020,26.67
22,La Curiosidad,"Jay Wheeler,                 DJ Nelson,                 Myke Towers     Platonicos",latin,ESP_top 2020,36.67
23,Yo No Voy,Morad     Yo No Voy,reggaeton,ESP_top 2020,26.67
24,Nunca Estoy,C. Tangana     Nunca Estoy,trap,ESP_top 2020,23.33
25,Don Don,"Daddy Yankee,                 Anuel AA,                 Kendo Kaponi     Don Don",rumbachata,ESP_top 2020,6.67
26,Ayer Me Llamó Mi Ex (feat. Lenny Santos),"KHEA,                 Lenny Santos     Ayer Me Llamó Mi Ex (feat. Lenny Santos)",reggaeton,ESP_top 2020,26.67
27,BICHOTA,KAROL G     BICHOTA,latin,ESP_top 2020,36.67
28,Mood (feat. iann dior),"24kGoldn,                 iann dior     Mood (feat. iann dior)",rap,ESP_top 2020,3.33
29,cómo te va?,"Lola Indigo,                 Beret     cómo te va?",trap,ESP_top 2020,23.33
0,positions,Ariana Grande     Positions,pop,USA_top 2020,36.67
1,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money,                 Gunna,                 Don Toliver,                 NAV     B4 The Storm",hip hop,USA_top 2020,46.67
2,Dakiti,"Bad Bunny,                 Jhay Cortez     Dakiti",trap,USA_top 2020,3.33
3,WAP (feat. Megan Thee Stallion),"Cardi B,                 Megan Thee Stallion     WAP (feat. Megan Thee Stallion)",hip hop,USA_top 2020,46.67
4,For The Night (feat. Lil Baby & DaBaby),"Pop Smoke,                 Lil Baby,                 DaBaby     Shoot For The Stars Aim For The Moon",hip hop,USA_top 2020,46.67
5,Mood (feat. iann dior),"24kGoldn,                 iann dior     Mood (feat. iann dior)",hip hop,USA_top 2020,46.67
6,34+35,Ariana Grande     Positions,hip hop,USA_top 2020,46.67
7,What You Know Bout Love,Pop Smoke     Shoot For The Stars Aim For The Moon,pop,USA_top 2020,36.67
8,Laugh Now Cry Later (feat. Lil Durk),"Drake,                 Lil Durk     Laugh Now Cry Later (feat. Lil Durk)",hip hop,USA_top 2020,46.67
9,Lonely (with benny blanco),"Justin Bieber,                 benny blanco     Lonely (with benny blanco)",hip hop,USA_top 2020,46.67
10,pov,Ariana Grande     Positions,pop,USA_top 2020,36.67
11,Tyler Herro,Jack Harlow     Tyler Herro,hip hop,USA_top 2020,46.67
12,SO DONE,The Kid LAROI     F*CK LOVE (SAVAGE),hip hop,USA_top 2020,46.67
13,Come & Go (with Marshmello),"Juice WRLD,                 Marshmello     Legends Never Die",edm,USA_top 2020,3.33
14,Holy (feat. Chance The Rapper),"Justin Bieber,                 Chance the Rapper     Holy",pop,USA_top 2020,36.67
15,ROCKSTAR (feat. Roddy Ricch),"DaBaby,                 Roddy Ricch     BLAME IT ON BABY",hip hop,USA_top 2020,46.67
16,Forever After All,Luke Combs     What You See Ain't Always What You Get (Deluxe Edition),country,USA_top 2020,3.33
17,Hawái - Remix,"Maluma,                 The Weeknd     Hawái (Remix)",latin,USA_top 2020,3.33
18,Wishing Well,Juice WRLD     Legends Never Die,rap,USA_top 2020,3.33
19,Blinding Lights,The Weeknd     After Hours,pop,USA_top 2020,36.67
20,motive (with Doja Cat),"Ariana Grande,                 Doja Cat     Positions",pop,USA_top 2020,36.67
21,Put Your Records On,Ritt Momney     Put Your Records On,pop,USA_top 2020,36.67
22,Heather,Conan Gray     Kid Krow,pop,USA_top 2020,36.67
23,FDT,"YG,                 Nipsey Hussle     Still Brazy (Deluxe)",hip hop,USA_top 2020,46.67
24,Dreams - 2004 Remaster,Fleetwood Mac     Rumours (Super Deluxe),pop,USA_top 2020,36.67
25,Blueberry Faygo,Lil Mosey     Certified Hitmaker,hip hop,USA_top 2020,46.67
26,you broke me first,Tate McRae     you broke me first,pop,USA_top 2020,36.67
27,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow,                 Tory Lanez,                 DaBaby,                 Lil Wayne     WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix]",hip hop,USA_top 2020,46.67
28,"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior","24kGoldn,                 Justin Bieber,                 J Balvin,                 iann dior     Mood (Remix) feat. Justin Bieber, J Balvin & iann dior",hip hop,USA_top 2020,46.67
29,Watermelon Sugar,Harry Styles     Fine Line,pop,USA_top 2020,36.67
